X,Y,fid,thanjavur_dem_250,rainfall_250m,thanjavur_kfactor_250m,soil_moisture_250m,thanjavur_ndvi_250m,sand_thanjavur_250m,lulc_250m,slope_250m,clay_thanjavur_250m,soil_loss_thanjavur
79.1009230128292,10.7481883847454,659,78,1269.69365,0.02083,8.72248,-0.22598,357,20,88.07934,358,111.87571
79.1009795129932,10.7391492264977,660,81,1275.67722,0.02118,8.72355,-0.16365,347,50,89.9791,341,144.69441
79.1010359628224,10.730110062712,661,80,1281.64762,0.01909,8.70442,-0.09887,351,20,89.98549,338,92.83334
79.1010923623239,10.721070893393,662,76,1287.60488,0.01904,8.67408,-0.10347,347,50,89.74207,331,124.48656
79.1011487115049,10.712031718545,663,74,1296.03242,0.02095,8.64383,-0.14412,365,40,89.11562,326,178.70232
79.1012050103728,10.7029925381725,664,70,1317.71977,0.0203,8.61367,-0.3108,369,40,88.2708,333,201.61188
79.1012612589347,10.6939533522799,665,70,1339.42856,0.02039,8.58359,-0.12228,365,40,89.15195,339,176.29427
79.1013174571978,10.6849141608719,666,66,1361.15877,0.02028,8.5536,-0.20952,383,60,89.93517,324,96.05255
79.1013736051693,10.6758749639527,667,60,1382.91038,0.02131,8.5237,-0.15055,369,10,87.40639,321,77.94162
79.1014297028564,10.666835761527,668,59,1402.54595,0.02097,8.49389,-0.08882,371,40,87.57178,317,184.06104
79.1014857502664,10.6577965535991,669,60,1413.00302,0.02188,8.46416,-0.16412,377,60,88.23434,301,103.49286
79.1015417474064,10.6487573401736,670,62,1423.46481,0.02011,8.43452,-0.09108,375,40,89.5611,325,179.6552
79.1015976942836,10.6397181212549,671,68,1433.93131,0.02034,7.86841,0.04148,377,40,88.62926,329,160.80481
79.1016535909051,10.6306788968475,672,71,1444.40251,0.02089,7.07779,0.07088,372,40,89.09827,326,161.24239
79.1017094372781,10.621639666956,673,72,1388.38757,0.0227,6.28824,-0.1841,368,40,88.8708,313,214.63792
79.1035783668118,10.314302619529,674,37,942.14277,0.02041,0.6869,-0.14282,338,10,88.79614,382,50.55938
79.103740493241,10.28718434652,675,29,1055.94133,0.02335,0.7121,-0.08079,330,0,68.07987,364,0
79.1040633967884,10.2329476571522,676,27,318.56917,0.01877,1.63988,-0.29355,332,40,88.86256,352,44.48906
79.104117039216,10.2239081903942,677,29,106.6168,0.01812,1.80277,-0.19749,330,10,87.80991,362,5.31994
79.1090434527583,10.9109489056153,678,39,767.76021,0.02311,1.51514,-0.3184,343,40,86.92982,398,134.35147
79.109100584271,10.9019097997961,679,38,1023.86221,0.01901,2.27382,-0.20306,338,40,89.53045,391,134.71814
