fid,erosion_score_pred
103,0.6481535970290841
104,0.6728443829786137
105,0.693834197735365
106,0.7046577427017013
171,0.6015452022732353
172,0.6861079689641162
173,0.6901416608888838
174,0.6778709746140793
238,0.5474372605402607
239,0.6026758212301017
240,0.606568250624857
241,0.6746225291464131
242,0.647978856295347
304,0.6660720664776943
305,0.5998963300270076
306,0.5857711169700057
307,0.6303379309931527
308,0.5466065249014723
309,0.6125235965416609
310,0.6289138636631567
311,0.6756613500388235
321,0.6622190241823084
322,0.4870680174037579
323,0.47372585359463254
324,0.6553292122570279
325,0.7142602500693966
326,0.6709318457113397
327,0.6453363652881307
328,0.6105648448548404
329,0.6184905353203582
330,0.6839517327236706
331,0.6834799782995534
332,0.7110052833024727
335,0.7113055167309446
372,0.6734318674492257
373,0.6741424349864286
374,0.6356056367020878
375,0.6162307859066006
376,0.5698464251547932
377,0.6544590110911052
378,0.659495090635103
379,0.6646305316668333
380,0.6815877280115534
381,0.6991377997756424
382,0.7072176124466832
383,0.6870259466273873
384,0.6973979320661253
385,0.7032218400495086
386,0.6587323710738895
387,0.616523207798338
388,0.6485088164615547
389,0.6700437583541443
390,0.6254580173369957
391,0.62383520383909
392,0.6246599308265093
394,0.7129296549224433
395,0.6753965661054624
396,0.6377314740615281
397,0.6477218030076487
398,0.7105390391300833
399,0.7004158215014097
400,0.7070763725865149
401,0.714028316615742
402,0.696422209799625
403,0.6781355992461631
404,0.7008423700920072
440,0.6877494947299913
441,0.6780626360006045
442,0.6641658667548981
443,0.6636129116990938
444,0.6344110602846835
445,0.6528064689546335
446,0.6739270756321597
447,0.6920330682445685
448,0.6974885189589715
449,0.6775566143194177
450,0.6341127270413697
451,0.6808067577956833
452,0.6906677210996207
453,0.6866227786440621
454,0.6708569655720528
455,0.6684043545801863
456,0.6402776422650033
457,0.659690610243136
458,0.6976936165326737
459,0.6239158132426045
460,0.6139096563470067
461,0.7146012115572159
462,0.678910392290983
463,0.640942538160275
464,0.6451046791543212
465,0.7129495254231365
466,0.7095679752886318
467,0.6947914450236755
468,0.697388010175843
469,0.6996196513104675
470,0.6964784424761586
471,0.6829057009550017
472,0.6879665101385224
508,0.6825724313198344
509,0.6711788368989852
510,0.6851785505600044
511,0.6852878710389683
512,0.6615974087491859
513,0.6654020961978538
514,0.6858696622238803
515,0.6951414121112617
516,0.7067983523353466
517,0.6947569793530376
518,0.687989261342328
519,0.6992724332464071
520,0.6956676494377813
521,0.6852289439735476
522,0.6639821579690334
523,0.6666999731320497
524,0.6852608976972114
525,0.6640845991810642
526,0.6892822600584919
527,0.5978383588802497
528,0.6675198816391802
530,0.6914334436415476
531,0.6755864722905951
532,0.7094938216755378
534,0.7048336928354151
535,0.6855403742977284
536,0.7034955274430611
537,0.6726797870997678
538,0.6802374173326741
539,0.6933240958494419
540,0.6611360267971447
576,0.6987758017510759
577,0.6969665692282413
578,0.7034735095318548
579,0.7034821801725974
580,0.6955027609760698
581,0.6933663981136198
582,0.7018663780530265
583,0.6956749571930961
584,0.7012214914934666
585,0.6819006650123502
586,0.683975099561299
587,0.6832160040687056
588,0.6777353319565681
589,0.6815603471143725
590,0.6547829237094401
591,0.6770659026213934
592,0.7036740682703316
593,0.679212573683977
594,0.647560680785536
595,0.5236457771542746
596,0.6843813570169243
598,0.6876193954075492
599,0.6831973650221145
600,0.7113198153235811
602,0.7130965579134197
603,0.7155228012200909
604,0.7137946128548248
605,0.6884741073540341
606,0.6899069390163763
607,0.6873487996332608
608,0.6539653141255198
644,0.6997785913319519
